segment;count
5;1
6;1
9;1
14;1
19;2
22;1
23;1
26;1
28;1
34;2
36;2
53;1
55;1
57;1
60;1
63;1
67;1
71;1
72;1
73;3
76;1
81;1
87;2
90;1
94;1
95;3
96;1
98;1
99;1
100;1
113;2
115;1
117;1
118;1
125;1
126;1
140;1
145;1
156;1
160;1
167;1
176;2
185;1
190;1
194;1
195;1
196;1
204;2
205;1
207;1
214;1
223;2
225;1
226;1
228;1
229;2
232;1
236;1
239;1
241;1
242;1
243;1
260;1
262;1
265;1
266;1
268;1
272;1
277;1
289;1
291;1
292;1
297;1
301;1
302;1
304;1
305;2
306;1
308;1
310;1
311;1
314;1
315;1
317;3
319;1
321;2
329;1
333;1
334;2
335;1
337;1
338;1
339;1
340;1
342;1
344;1
347;1
348;1
350;2
352;1
355;4
357;1
358;1
359;1
362;2
368;2
370;1
374;1
375;1
378;1
379;1
380;3
382;1
385;1
386;1
387;1
388;1
397;1
400;1
407;1
408;1
410;1
414;1
416;1
418;2
419;1
421;2
422;2
425;1
428;2
430;1
435;2
437;1
440;1
444;2
458;1
462;1
465;1
468;2
470;1
472;1
474;1
478;1
482;1
492;1
496;1
497;2
510;2
512;1
516;1
526;1
529;1
532;1
533;2
538;2
539;1
540;1
541;2
542;1
545;1
546;1
547;1
553;1
559;1
564;1
567;1
573;1
574;1
579;1
580;1
585;1
588;1
593;1
598;1
603;2
604;2
606;1
608;1
610;1
613;1
614;1
622;1
628;1
630;1
639;1
645;2
648;1
655;1
656;1
663;1
665;1
666;1
670;1
671;1
673;1
676;1
682;1
684;1
685;1
687;1
690;1
691;2
692;1
696;1
698;1
699;1
703;1
704;2
707;1
709;2
715;1
723;1
724;1
728;1
730;1
733;1
736;1
737;1
739;1
745;1
746;2
749;1
759;1
760;2
766;1
768;1
769;1
773;1
775;1
777;2
780;1
798;1
801;1
803;1
804;1
806;1
808;1
810;1
814;1
819;1
820;1
830;2
831;1
832;1
840;1
841;1
847;1
853;1
855;1
859;1
862;1
864;1
867;3
871;1
873;1
874;2
879;1
888;1
889;1
894;1
896;1
897;1
899;1
901;2
911;2
912;1
916;1
917;1
919;3
928;1
930;1
931;1
934;1
935;1
937;1
939;1
947;1
948;1
953;1
954;1
955;1
959;1
966;1
971;1
974;2
977;1
979;1
988;1
990;1
996;1
998;1
999;1
1000;1
1012;1
1017;1
1018;1
1027;1
1033;1
1037;1
1038;1
1040;1
1041;1
1049;1
1054;1
1055;1
1056;1
1059;1
1060;1
1062;1
1074;1
1084;2
1086;1
1090;1
1091;1
1094;1
1103;1
1113;3
1118;1
1119;1
1120;1
1123;1
1126;1
1127;1
1129;1
1130;1
1132;1
1135;1
1138;2
1140;2
1142;1
1152;1
1154;2
1157;1
1158;1
1166;2
1167;1
1173;1
1174;1
1179;1
1184;1
1188;2
1192;1
1195;1
1198;1
1199;1
1202;1
1204;1
1205;1
1206;1
1207;1
1208;1
1209;1
1213;1
1215;3
1216;1
1223;1
1224;1
1234;1
1236;1
1237;1
1238;2
1240;2
1242;1
1250;1
1252;1
1255;1
1259;1
1261;1
1262;1
1266;2
1267;1
1271;1
1279;1
1280;1
1290;1
1291;2
1295;1
1296;2
1299;2
1301;1
1308;1
1312;1
1313;1
1315;1
1317;1
1318;1
1320;2
1323;1
1324;2
1326;1
1334;2
1335;2
1337;1
1341;1
1348;3
1353;1
1355;1
1360;1
1365;1
1366;2
1368;1
1374;1
1377;1
1379;2
1383;1
1386;1
1387;1
1388;1
1397;1
1398;2
1400;3
1401;1
1405;1
1419;1
1421;1
1422;1
1426;2
1428;1
1429;1
1435;1
1436;1
1437;1
1438;1
1444;1
1447;1
1451;2
1453;2
1459;1
1460;1
1462;1
1468;1
1469;1
1475;1
1479;1
1491;1
1492;1
1496;2
1499;1
1500;1
1501;1
1506;1
1508;1
1510;1
1515;1
1516;2
1517;1
1522;1
1528;1
1532;1
1535;1
1542;1
1544;2
1547;1
1549;1
1552;1
1554;2
1556;1
1558;1
1559;2
1567;1
1568;1
1569;1
1572;1
1575;1
1579;1
1580;1
1584;1
1585;1
1591;1
1594;1
1604;1
1605;1
1606;1
1626;3
1628;1
1630;1
1631;2
1634;1
1639;1
1641;1
1643;1
1645;1
1646;1
1650;1
1651;1
1657;1
1662;1
1666;1
1674;1
1676;1
1682;1
1685;1
1686;1
1690;1
1691;1
1693;1
1695;1
1696;1
1699;2
1701;1
1703;1
1707;1
1711;1
1713;1
1714;2
1716;1
1722;1
1723;1
1726;1
1728;3
1744;1
1746;1
1748;1
1761;2
1762;2
1770;2
1771;1
1772;2
1773;1
1776;2
1779;1
1785;1
1794;1
1798;1
1804;1
1816;1
1818;1
1821;1
1823;1
1829;2
1839;1
1842;1
1846;1
1848;1
1851;1
1854;1
1859;1
1860;1
1866;1
1877;1
1884;2
1887;1
1890;1
1893;1
1894;1
1897;1
1898;1
1900;1
1904;2
1906;1
1907;1
1909;1
1912;1
1917;1
1920;2
1935;1
1937;1
1939;1
1941;1
1942;1
1952;1
1955;1
1964;1
1967;1
1969;1
1973;1
1976;1
1980;1
1984;1
1992;1
1994;2
1995;1
1997;1
2009;1
2014;1
2016;2
2020;1
2033;2
2034;1
2035;2
2038;1
2039;1
2041;1
2045;1
2046;1
2054;2
2058;1
2059;1
2063;1
2067;1
2068;1
2073;2
2076;1
2077;1
2079;1
2080;1
2086;1
2090;2
2095;1
2101;1
2112;2
2115;2
2122;1
2126;1
2128;1
2131;1
2136;1
2143;2
2155;1
2160;1
2162;1
2163;1
2168;1
2171;1
2180;2
2183;1
2186;1
2193;1
2198;1
2202;2
2206;1
2209;2
2210;1
2211;1
2214;2
2216;1
2221;1
2225;2
2228;1
2237;1
2238;1
2246;1
2248;1
2250;1
2251;1
2261;1
2262;1
2263;1
2264;2
2265;1
2266;1
2267;1
2271;1
2276;1
2278;1
2286;2
2287;2
2288;1
2289;1
2291;1
2294;1
2295;1
2296;1
2301;1
2303;1
2305;1
2306;1
2323;1
2324;1
2328;2
2329;1
2333;2
2336;1
2337;1
2351;2
2353;1
2357;1
2358;1
2369;1
2372;1
2373;1
2375;1
2376;1
2386;2
2387;1
2389;1
2391;1
2394;1
2398;1
2400;1
2403;1
2404;1
2406;1
2407;1
2408;1
2409;1
2410;2
2418;1
2425;1
2431;1
2432;3
2435;1
2438;2
2443;1
2444;1
2447;1
2450;1
2455;2
2456;1
2459;1
2460;1
2461;1
2466;2
2468;1
2483;1
2484;1
2488;1
2491;1
2494;1
2498;1
2499;1
2500;1
2502;1
2503;1
2505;1
2511;1
2521;1
2529;1
2532;1
2535;1
2540;1
2541;1
2546;2
2550;1
2551;1
2552;1
2554;1
2556;1
2561;1
2562;1
2568;1
2569;1
2573;1
2586;1
2589;1
2597;1
2599;1
2605;3
2618;1
2623;1
2630;1
2631;2
2637;1
2638;1
2642;1
2643;1
2644;1
2645;1
2647;1
2648;1
2653;1
2655;1
2662;1
2663;1
2664;1
2665;2
2671;1
2673;1
2678;2
2680;1
2681;1
2687;1
2696;1
2698;1
2701;1
2703;1
2706;1
2707;1
2708;2
2712;1
2714;3
2718;1
2720;1
2726;1
2735;1
2741;1
2742;1
2743;1
2748;1
2750;1
2755;1
2756;2
2765;1
2767;2
2771;2
2773;1
2779;1
2783;1
2787;1
2789;1
2792;1
2796;1
2797;1
2798;1
2800;1
2802;1
2805;1
2807;1
2814;1
2821;1
2826;1
2828;1
2838;1
2839;1
2840;1
2841;1
2842;1
2845;1
2848;1
2852;1
2854;1
2857;2
2861;2
2862;1
2863;2
2865;1
2880;1
2883;1
2886;1
2887;1
2889;1
2898;1
2901;1
2907;1
2918;1
2920;1
2927;1
2932;1
2933;1
2934;1
2937;1
2938;1
2946;1
2947;1
2952;1
2955;2
2957;1
2971;1
2973;1
2980;1
2983;2
2991;1
2992;1
2994;1
2995;1
2996;1
2997;2
